scope,metric,baseline,vcomp,delta_percent,verdict,primary
E,scan_latency_p99_us,6115.327,8904.703,45.612867472172766,outside_10pct,True
F,throughput_ops_per_second,47272.366707,41817.99499,-11.538182022505616,outside_10pct,True
F,point_reads,960000,960000,0.0,within_10pct,False
F,writes,479808,479808,0.0,within_10pct,False
F,scans,0,0,,undefined_zero_baseline,False
F,point_read_hits,749824,749852,0.0037342096278702996,within_10pct,False
F,point_read_misses,210176,210148,-0.01332216808769271,within_10pct,False
F,point_hit_fraction,0.7810666666666667,0.7810958333333333,0.003734209627848095,within_10pct,False
F,disk_read_bytes,104825372672,126192721920,20.38375700781787,outside_10pct,False
F,disk_write_bytes,197500928,197459968,-0.020739143058612353,within_10pct,False
F,operation_latency_p50_us,816.639,910.847,11.536064282994074,outside_10pct,False
F,operation_latency_p95_us,2013.183,2500.607,24.211609178102545,outside_10pct,False
F,operation_latency_p99_us,4853.759,4882.431,0.5907174212810951,within_10pct,False
F,point_lookup_latency_p50_us,584.703,640.511,9.544674817813492,within_10pct,True
F,point_lookup_latency_p95_us,1557.503,1998.847,28.336638837934824,outside_10pct,True
F,point_lookup_latency_p99_us,3735.551,3971.071,6.304826249193218,within_10pct,True
F,point_lookup_hit_latency_p50_us,532.991,577.023,8.26130272368577,within_10pct,False
F,point_lookup_hit_latency_p95_us,1455.103,1805.311,24.06757459781197,outside_10pct,False
F,point_lookup_hit_latency_p99_us,3360.767,3547.135,5.545400796901423,within_10pct,False
F,point_lookup_miss_latency_p50_us,768.511,914.943,19.053988817336375,outside_10pct,False
F,point_lookup_miss_latency_p95_us,1875.967,2531.327,34.93451643872201,outside_10pct,False
F,point_lookup_miss_latency_p99_us,4857.855,5177.343,6.57672985299067,within_10pct,False
F,scan_latency_p50_us,0.0,0.0,,undefined_zero_baseline,False
F,scan_latency_p95_us,0.0,0.0,,undefined_zero_baseline,False
F,scan_latency_p99_us,0.0,0.0,,undefined_zero_baseline,False
MIXGRAPH,throughput_ops_per_second,36952.014114,33037.797098,-10.59270275207277,outside_10pct,True
MIXGRAPH,point_reads,796810,796810,0.0,within_10pct,False
MIXGRAPH,writes,134564,134564,0.0,within_10pct,False
MIXGRAPH,scans,28626,28626,0.0,within_10pct,False
MIXGRAPH,point_read_hits,516597,520424,0.7408095672255088,within_10pct,False
MIXGRAPH,point_read_misses,280213,276386,-1.3657467712061888,within_10pct,False
MIXGRAPH,point_hit_fraction,0.6483314717435775,0.6531343733135879,0.7408095672255088,within_10pct,False
MIXGRAPH,disk_read_bytes,42037764096,47635537920,13.316059843755212,outside_10pct,False
MIXGRAPH,disk_write_bytes,7368704,7430144,0.8337965536409087,within_10pct,False
MIXGRAPH,operation_latency_p50_us,888.319,998.399,12.391944785600684,outside_10pct,False
MIXGRAPH,operation_latency_p95_us,3371.007,3717.119,10.26731774807943,outside_10pct,False
MIXGRAPH,operation_latency_p99_us,6537.215,7274.495,11.278197213951202,outside_10pct,False
MIXGRAPH,point_lookup_latency_p50_us,894.975,1004.543,12.242576608285137,outside_10pct,True
MIXGRAPH,point_lookup_latency_p95_us,3282.943,3592.191,9.419840673444524,within_10pct,True
