scope,metric,baseline,vcomp,delta_percent,verdict,primary
MIXGRAPH,scan_cql_requests,412751,438487,6.23523625624165,within_10pct,False
MIXGRAPH,empty_scans,1,1,0.0,within_10pct,False
MIXGRAPH,operation_latency_p50_us,685.567,657.919,-4.0328662260581405,within_10pct,False
MIXGRAPH,operation_latency_p95_us,3145.727,2973.695,-5.468751738469346,within_10pct,False
MIXGRAPH,operation_latency_p99_us,6246.399,6053.887,-3.0819677065137996,within_10pct,False
MIXGRAPH,point_lookup_latency_p50_us,693.247,663.551,-4.2836103149382465,within_10pct,True
MIXGRAPH,point_lookup_latency_p95_us,3076.095,2893.823,-5.925434682608954,within_10pct,True
MIXGRAPH,point_lookup_latency_p99_us,5533.695,5345.279,-3.404885885470721,within_10pct,True
MIXGRAPH,point_lookup_hit_latency_p50_us,672.767,648.703,-3.5768698524154874,within_10pct,False
MIXGRAPH,point_lookup_hit_latency_p95_us,2951.167,2803.711,-4.99653188043917,within_10pct,False
MIXGRAPH,point_lookup_hit_latency_p99_us,5357.567,5210.111,-2.752294091702445,within_10pct,False
MIXGRAPH,point_lookup_miss_latency_p50_us,759.295,713.215,-6.068787493661876,within_10pct,False
MIXGRAPH,point_lookup_miss_latency_p95_us,3366.911,3125.247,-7.17761770358647,within_10pct,False
MIXGRAPH,point_lookup_miss_latency_p99_us,5947.391,5689.343,-4.338843704743811,within_10pct,False
MIXGRAPH,scan_latency_p50_us,1235.967,1134.591,-8.202160737301256,within_10pct,False
MIXGRAPH,scan_latency_p95_us,16556.031,15040.511,-9.153884768638076,within_10pct,False
MIXGRAPH,scan_latency_p99_us,33112.063,29982.719,-9.450767232473556,within_10pct,False
MIXGRAPH,disk_read_latency_avg_ms,0.10267561924756408,0.10290813353422615,0.22645520754196458,within_10pct,False
MIXGRAPH,disk_write_latency_avg_ms,0.371107544141252,0.34928069588491134,-5.881542588105637,within_10pct,False
final_state,fingerprint_rows,66278498,66389271,0.1671326347799873,within_10pct,True
final_state,sstable_count,204,186,-8.823529411764708,within_10pct,True
final_state,data_bytes,87895956310,81825525072,-6.90638283357452,within_10pct,True
final_state,component_bytes,87990345878,81913819477,-6.905901255832314,within_10pct,True
final_state,max_sstable_bytes,720622757,635083659,-11.87016329543975,outside_10pct,True
